Index,Date,Price,MAV144,MAV12
5701,6/11/2000,265.7,276.4732639,289.1125
5702,7/11/2000,265.5,276.3631944,288.7125
5703,8/11/2000,264.1,276.2538194,288.1833333
5704,9/11/2000,264.7,276.1482639,287.6166667
5705,10/11/2000,264.9,276.0440972,287.1708333
5706,13/11/2000,264.9,275.9423611,287.0083333
5707,14/11/2000,265,275.8642361,286.8875
5708,15/11/2000,264.6,275.7850694,286.9541667
5709,16/11/2000,266.7,275.7270833,287.1166667
5710,17/11/2000,265.3,275.6590278,287.1791667
5711,20/11/2000,266.2,275.5944444,287.2333333
5712,21/11/2000,266.2,275.5288194,287.3416667
5713,22/11/2000,266.2,275.4326389,287.4666667
5714,23/11/2000,265.7,275.328125,287.4666667
5715,24/11/2000,265.6,275.2423611,287.4708333
5716,27/11/2000,268.2,275.1857639,287.8083333
5717,28/11/2000,270,275.1326389,288.25
5718,29/11/2000,269.1,275.0795139,288.6041667
5719,30/11/2000,269.1,275.0270833,288.9583333
5720,1/12/2000,269.2,274.9864583,289.3125
5721,4/12/2000,270.7,274.9496528,289.8208333
5722,5/12/2000,270.8,274.9336806,290.1625
5723,6/12/2000,271.6,274.9253472,290.6916667
5724,7/12/2000,273.9,274.9305556,291.3375
5725,8/12/2000,273,274.9232639,291.9041667
5726,11/12/2000,270.7,274.9,292.2833333
5727,12/12/2000,270.8,274.8795139,292.7041667
5728,13/12/2000,269.6,274.8534722,293.0416667
5729,14/12/2000,269.3,274.8395833,293.1375
5730,15/12/2000,270.4,274.8329861,293.1708333
5731,18/12/2000,270.2,274.8125,293.2625
5732,19/12/2000,269.6,274.79375,293.3
5733,20/12/2000,272.5,274.7934028,293.5708333
5734,21/12/2000,273.1,274.734375,293.7708333
5735,22/12/2000,273.1,274.6638889,293.9625
5736,25/12/2000,273.1,274.5576389,294.0875
5737,26/12/2000,273.1,274.48125,294.0208333
5738,27/12/2000,275.1,274.4069444,294.1958333
5739,28/12/2000,274.5,274.3378472,294.5083333
5740,29/12/2000,274.5,274.2673611,294.8166667
5741,1/01/2001,274.5,274.1489583,295.2208333
5742,2/01/2001,271.1,274.0375,295.3708333
5743,3/01/2001,267.2,273.896875,295.1041667
5744,4/01/2001,267.1,273.7371528,294.8458333
5745,5/01/2001,267.4,273.6086806,294.6666667
5746,8/01/2001,268.3,273.484375,294.3208333
5747,9/01/2001,267,273.3520833,293.8125
5748,10/01/2001,266.3,273.2038194,293.2458333
5749,11/01/2001,264.2,273.0534722,292.5
5750,12/01/2001,263.7,272.9121528,291.7166667
5751,15/01/2001,263.5,272.7711806,290.7541667
5752,16/01/2001,264.5,272.6076389,289.9208333
5753,17/01/2001,263.5,272.4253472,289.0083333
5754,18/01/2001,264.9,272.2638889,288.2125
5755,19/01/2001,264.9,272.1059028,287.6958333
5756,22/01/2001,266.2,271.9645833,287.6125
5757,23/01/2001,266.1,271.8204861,287.5291667
5758,24/01/2001,264.3,271.6770833,287.2666667
5759,25/01/2001,264.9,271.5524306,286.9833333
5760,26/01/2001,263.6,271.4097222,286.6958333
5761,29/01/2001,262.9,271.2708333,286.4083333
5762,30/01/2001,265,271.1666667,286.475
5763,31/01/2001,264.5,271.0534722,286.5416667
5764,1/02/2001,267.7,270.9659722,286.8875
5765,2/02/2001,266.7,270.8565972,287.075
5766,5/02/2001,265.5,270.7364583,287.2375
5767,6/02/2001,262.7,270.621875,287.0541667
5768,7/02/2001,263.2,270.509375,286.9083333
5769,8/02/2001,263,270.3958333,286.6416667
5770,9/02/2001,259.9,270.2579861,286.125
5771,12/02/2001,261.1,270.1288194,285.8625
5772,13/02/2001,260.8,269.9993056,285.5166667
5773,14/02/2001,260.3,269.8631944,285.2416667
5774,15/02/2001,258.6,269.7274306,284.8833333
5775,16/02/2001,257.5,269.5934028,284.2583333
5776,19/02/2001,259.5,269.4673611,283.8375
5777,20/02/2001,256.3,269.3190972,282.8875
5778,21/02/2001,257.5,269.1940972,282.1208333
5779,22/02/2001,258.9,269.0892361,281.5708333
5780,23/02/2001,260.5,269.0006944,281.3833333
5781,26/02/2001,263.2,268.9319444,281.3875
5782,27/02/2001,268.3,268.90625,281.8333333
5783,28/02/2001,266.7,268.8680556,282.4
5784,1/03/2001,266.4,268.8239583,282.8375
5785,2/03/2001,263.1,268.7381944,283.0333333
5786,5/03/2001,262.5,268.6572917,283.2208333
5787,6/03/2001,261.9,268.5565972,283.4958333
5788,7/03/2001,260.7,268.4416667,283.7625
5789,8/03/2001,263.7,268.3586806,284.1125
5790,9/03/2001,269.8,268.3253472,285.2416667
5791,12/03/2001,272.5,268.3190972,286.4916667
5792,13/03/2001,269.3,268.2923611,287.3625
5793,14/03/2001,263.9,268.2315972,287.6458333
5794,15/03/2001,262.1,268.1510417,287.55
5795,16/03/2001,260.7,268.0611111,286.9166667
5796,19/03/2001,260.6,267.9677083,286.4041667
5797,20/03/2001,261.6,267.8861111,286.0041667
5798,21/03/2001,262,267.7819444,285.9125
5799,22/03/2001,261.2,267.671875,285.8
5800,23/03/2001,262.9,267.5760417,285.8833333
5801,26/03/2001,262.2,267.4871528,286.0125
5802,27/03/2001,262,267.4027778,285.875
5803,28/03/2001,260.2,267.315625,285.0708333
5804,29/03/2001,260.2,267.228125,284.0416667
5805,30/03/2001,257.7,267.125,283.075
5806,2/04/2001,256,266.9951389,282.4166667
5807,3/04/2001,257.1,266.8881944,282.0041667
5808,4/04/2001,259.5,266.7934028,281.9
5809,5/04/2001,258.1,266.6927083,281.6958333
5810,6/04/2001,258.8,266.5940972,281.4666667
5811,9/04/2001,259,266.5048611,281.2166667
5812,10/04/2001,256.7,266.4024306,280.8416667
5813,11/04/2001,257.7,266.3204861,280.4125
5814,12/04/2001,259.3,266.2184028,280.1666667
5815,13/04/2001,259.3,266.1239583,279.9375
5816,16/04/2001,259.3,266.015625,279.8625
5817,17/04/2001,260.6,265.9072917,279.8958333
5818,18/04/2001,258.9,265.7854167,279.9916667
5819,19/04/2001,263.1,265.7121528,280.5875
5820,20/04/2001,263.9,265.6479167,281.15
5821,23/04/2001,262.6,265.5819444,281.4125
5822,24/04/2001,263.4,265.5267361,281.8541667
5823,25/04/2001,263.5,265.4788194,282.2458333
5824,26/04/2001,263.5,265.4336806,282.6208333
5825,27/04/2001,264.6,265.3961806,283.2833333
5826,30/04/2001,263.2,265.3451389,283.7375
5827,1/05/2001,264,265.284375,284.1333333
5828,2/05/2001,264,265.2145833,284.525
5829,3/05/2001,266.4,265.1670139,285.1208333
5830,4/05/2001,266.6,265.1322917,285.625
5831,7/05/2001,266.6,265.1069444,286.2708333
5832,8/05/2001,265.2,265.0597222,286.4458333
5833,9/05/2001,267.9,265.0427083,286.7791667
5834,10/05/2001,268.5,265.0288194,287.2666667
5835,11/05/2001,269.1,265.0121528,287.7375
5836,14/05/2001,268.4,264.9993056,288.1416667
5837,15/05/2001,266.6,264.9979167,288.4
5838,16/05/2001,270.9,265.0291667,288.925
5839,17/05/2001,274,265.1,289.8291667
5840,18/05/2001,273,265.1572917,290.5791667
5841,21/05/2001,291.3,265.3430556,292.8541667
5842,22/05/2001,284.2,265.4725694,294.3333333
5843,23/05/2001,283.2,265.5996528,295.7125
5844,24/05/2001,286.1,265.7482639,297.3333333
5845,25/05/2001,276.3,265.8215278,298.2541667
5846,28/05/2001,276.3,265.8961806,298.9541667
5847,29/05/2001,275.8,265.9770833,299.5625
5848,30/05/2001,271,266.0211806,299.725
5849,31/05/2001,267.5,266.0395833,299.6541667
5850,1/06/2001,265.4,266.0434028,299.5541667
5851,4/06/2001,266.5,266.0541667,299.1875
5852,5/06/2001,265.7,266.0618056,298.4958333
5853,6/06/2001,265.5,266.0534722,297.8708333
5854,7/06/2001,266.1,266.059375,295.775
5855,8/06/2001,267,266.0652778,294.3458333
5856,11/06/2001,268.5,266.0815972,293.125
5857,12/06/2001,269.9,266.1076389,291.7791667
5858,13/06/2001,272,266.1510417,291.4208333
5859,14/06/2001,272.4,266.1986111,291.1
5860,15/06/2001,272.2,266.2267361,290.8041667
5861,18/06/2001,272,266.2409722,290.8875
5862,19/06/2001,273.4,266.2708333,291.3791667
5863,20/06/2001,271.5,266.2875,291.8875
5864,21/06/2001,271.7,266.3048611,292.3208333
5865,22/06/2001,273.3,266.3229167,292.9541667
5866,25/06/2001,272.9,266.3375,293.5708333
5867,26/06/2001,274,266.3541667,294.2291667
5868,27/06/2001,274.8,266.3604167,294.8791667
5869,28/06/2001,269.5,266.3364583,294.9625
5870,29/06/2001,270.6,266.3357639,295.0208333
5871,2/07/2001,268.4,266.3190972,294.7208333
5872,3/07/2001,268.5,266.3114583,294.3958333
5873,4/07/2001,267.6,266.2996528,294.0125
5874,5/07/2001,266.3,266.2715278,293.5375
5875,6/07/2001,265.1,266.2361111,292.8458333
5876,9/07/2001,266.1,266.2121528,292.3958333
5877,10/07/2001,267.5,266.1774306,292.0416667
5878,11/07/2001,267.6,266.1388889,291.5625
5879,12/07/2001,266.3,266.0916667,291.0125
5880,13/07/2001,266.4,266.0447917,290.375
5881,16/07/2001,268.3,266.0111111,289.8291667
5882,17/07/2001,267.6,265.959375,289.6708333
5883,18/07/2001,268.6,265.9184028,289.5
5884,19/07/2001,270.3,265.8895833,289.6625
5885,20/07/2001,269.7,265.8565972,289.7625
5886,23/07/2001,268.7,265.8399306,289.8541667
5887,24/07/2001,268.8,265.8510417,290.0583333
5888,25/07/2001,268.4,265.8600694,290.3333333
5889,26/07/2001,267.5,265.8607639,290.45
5890,27/07/2001,266.2,265.8458333,290.3416667
5891,30/07/2001,266.3,265.8409722,290.2375
5892,31/07/2001,265.9,265.8381944,290.2041667
5893,1/08/2001,267.4,265.8604167,290.2875
5894,2/08/2001,267,265.8833333,290.1833333
5895,3/08/2001,267.9,265.9135417,290.2041667
5896,6/08/2001,267.2,265.9326389,290.0916667
5897,7/08/2001,266.5,265.953125,289.7708333
5898,8/08/2001,266.4,265.9635417,289.4958333
5899,9/08/2001,270,265.9989583,289.6041667
5900,10/08/2001,275.8,266.0659722,290.1916667
5901,13/08/2001,275.6,266.1319444,290.7916667
5902,14/08/2001,274.5,266.203125,291.375
5903,15/08/2001,275.4,266.2756944,292.1416667
5904,16/08/2001,275.9,266.3614583,292.9416667
5905,17/08/2001,277.5,266.4628472,293.9041667
5906,20/08/2001,276.7,266.5440972,294.6791667
