Id,DateTime,Date,Demand
260,6/04/2018 10:00,6/04/2018,6402.75
261,6/04/2018 10:30,6/04/2018,6409.06
262,6/04/2018 11:00,6/04/2018,6357.34
263,6/04/2018 11:30,6/04/2018,6295.35
264,6/04/2018 12:00,6/04/2018,6312.87
265,6/04/2018 12:30,6/04/2018,6239.38
266,6/04/2018 13:00,6/04/2018,6231.47
267,6/04/2018 13:30,6/04/2018,6287.28
268,6/04/2018 14:00,6/04/2018,6374.61
269,6/04/2018 14:30,6/04/2018,6465.03
270,6/04/2018 15:00,6/04/2018,6685.5
271,6/04/2018 15:30,6/04/2018,6926.56
272,6/04/2018 16:00,6/04/2018,6974.93
273,6/04/2018 16:30,6/04/2018,7099.49
274,6/04/2018 17:00,6/04/2018,7195.85
275,6/04/2018 17:30,6/04/2018,7203.54
276,6/04/2018 18:00,6/04/2018,7170.4
277,6/04/2018 18:30,6/04/2018,7291.67
278,6/04/2018 19:00,6/04/2018,7326.98
279,6/04/2018 19:30,6/04/2018,7117.28
280,6/04/2018 20:00,6/04/2018,6975.08
281,6/04/2018 20:30,6/04/2018,6890.82
282,6/04/2018 21:00,6/04/2018,6717.82
283,6/04/2018 21:30,6/04/2018,6596.29
284,6/04/2018 22:00,6/04/2018,6466.35
285,6/04/2018 22:30,6/04/2018,6352.57
286,6/04/2018 23:00,6/04/2018,6274.43
287,6/04/2018 23:30,6/04/2018,6125.65
288,7/04/2018 0:00,7/04/2018,5801.74
289,7/04/2018 0:30,7/04/2018,5634.11
290,7/04/2018 1:00,7/04/2018,5513.03
291,7/04/2018 1:30,7/04/2018,5407.24
292,7/04/2018 2:00,7/04/2018,5342.78
293,7/04/2018 2:30,7/04/2018,5315.5
294,7/04/2018 3:00,7/04/2018,5275.44
295,7/04/2018 3:30,7/04/2018,5258.8
296,7/04/2018 4:00,7/04/2018,5246.47
297,7/04/2018 4:30,7/04/2018,5265.69
298,7/04/2018 5:00,7/04/2018,5310.86
299,7/04/2018 5:30,7/04/2018,5403.44
300,7/04/2018 6:00,7/04/2018,5473.19
301,7/04/2018 6:30,7/04/2018,5568.63
302,7/04/2018 7:00,7/04/2018,5655.22
303,7/04/2018 7:30,7/04/2018,5753.37
304,7/04/2018 8:00,7/04/2018,5744.8
305,7/04/2018 8:30,7/04/2018,5788.79
306,7/04/2018 9:00,7/04/2018,5842.06
307,7/04/2018 9:30,7/04/2018,5890.53
308,7/04/2018 10:00,7/04/2018,5890.91
309,7/04/2018 10:30,7/04/2018,5864.82
310,7/04/2018 11:00,7/04/2018,5787.66
311,7/04/2018 11:30,7/04/2018,5744.1
312,7/04/2018 12:00,7/04/2018,5761.41
313,7/04/2018 12:30,7/04/2018,5741.48
314,7/04/2018 13:00,7/04/2018,5743.06
315,7/04/2018 13:30,7/04/2018,5818.45
316,7/04/2018 14:00,7/04/2018,5827.92
317,7/04/2018 14:30,7/04/2018,5896.85
318,7/04/2018 15:00,7/04/2018,6002.92
319,7/04/2018 15:30,7/04/2018,6172.68
320,7/04/2018 16:00,7/04/2018,6289.17
321,7/04/2018 16:30,7/04/2018,6460.89
322,7/04/2018 17:00,7/04/2018,6657.09
