DateTime,Demand,Price
12/03/2000 11:30,4599.94,23.42
12/03/2000 14:30,4502.87,20.62
12/03/2000 17:30,4720.86833,21.72
12/03/2000 20:30,4952.29833,27.54
12/03/2000 23:30,4715.75,32.24
13/03/2000 2:30,3731.57333,18
13/03/2000 5:30,3914.14,18
13/03/2000 8:30,5603.35667,41.53
13/03/2000 11:30,5736.51333,37.67
13/03/2000 14:30,5794.01833,57.85138
13/03/2000 17:30,5699.92,35.28
13/03/2000 20:30,5375.68,29.63
13/03/2000 23:30,5003.81,31.98
14/03/2000 2:30,3849.47667,18
14/03/2000 5:30,4015.75833,18
14/03/2000 8:30,5627.43667,39.33
14/03/2000 11:30,5756.535,57.72625
14/03/2000 14:30,5839.32333,68.5
14/03/2000 17:30,5724.39833,39.48
14/03/2000 20:30,5372.25,29.19
14/03/2000 23:30,5000.395,33.32
15/03/2000 2:30,3837.78,17.99
15/03/2000 5:30,4028.59,18
15/03/2000 8:30,5616.405,34.01
15/03/2000 11:30,5697.19667,43.69
15/03/2000 14:30,5768.43333,57.5036
15/03/2000 17:30,5725.84167,43.16
15/03/2000 20:30,5415.37667,32.81
15/03/2000 23:30,5098.89,34.81
16/03/2000 2:30,3935.95333,18
16/03/2000 5:30,4089.33,19.15
16/03/2000 8:30,5716.94167,44.63
16/03/2000 11:30,5729.48167,56.01
16/03/2000 14:30,5811.085,57.61077
16/03/2000 17:30,5730.40667,49.58
16/03/2000 20:30,5473.71,32.42
16/03/2000 23:30,5103.17667,33.82
17/03/2000 2:30,3876.39667,18
17/03/2000 5:30,4029.01167,18
17/03/2000 8:30,5622.48667,38.79
17/03/2000 11:30,5677.83833,57.4317
17/03/2000 14:30,5565.70167,49.98
17/03/2000 17:30,5475.11333,57.58923
17/03/2000 20:30,5046.61333,20.88
17/03/2000 23:30,4941.125,76.18
18/03/2000 2:30,3740.42,18
18/03/2000 5:30,3724.14,18
18/03/2000 8:30,4853.67833,29.79
18/03/2000 11:30,4999.465,71.85
18/03/2000 14:30,4792.30667,25.05
18/03/2000 17:30,4832.1,30.39
18/03/2000 20:30,4707.53167,20.83
18/03/2000 23:30,4625.73833,36.91
19/03/2000 2:30,3565.80167,21.83
